candidateId,value,universidad homologada
630665b8594e18004af04d15,Instituto De Formación Bancaria - Ifb Certus,Instituto De Formación Bancaria - Ifb Certus
630665b8594e18004af04d20,Universidad San Martin De Porres,Universidad de San Martín de Porres
630665b8594e18004af04d20,Computronic,Computronic
630665b8594e18004af04d31,Instituto De Formación Bancaria - Ifb,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04d3b,Universidad De San Martín De Porres,Universidad de San Martín de Porres
630665b8594e18004af04d41,Universidad Nacional De San Agustín,Universidad Nacional De San Agustín
630665b8594e18004af04d4b,Unap,Unap
630665b8594e18004af04d51,Instituto De Educación Superior Tecnológico Privado Acip,Instituto De Educación Superior Tecnológico Privado Acip
630665b8594e18004af04d5d,Isam,Isam
630665b8594e18004af04d63,Idat,Idat
630665b8594e18004af04d6a,Universidad San Ignacio De Loyola - Usil,Universidad San Ignacio De Loyola - Usil
630665b8594e18004af04d79,Instituto Superior Tecnologico La Oroya,Instituto Superior Tecnologico La Oroya
630665b8594e18004af04d81,Universidad Peruana Los Andes,Universidad Peruana Los Andes
630665b8594e18004af04d81,Andres A. Avelino Caceres,Andres A. Avelino Caceres
630665b8594e18004af04d8b,Universidad Peruana Los Andes,Universidad Peruana Los Andes
630665b8594e18004af04d91,Instituto Continental,Instituto Continental
630665b8594e18004af04d98,Sise,Sise
630665b8594e18004af04dab,Universidad Cesar Vallejo,Universidad Cesar Vallejo
630665b8594e18004af04db3,Universidad Nacional De La Amazonia Peruana,Universidad Nacional de la Amazonía Peruana
630665b8594e18004af04dba,Unes- Esforspol,Unes- Esforspol
630665b8594e18004af04dc0,Certus,Certus
630665b8594e18004af04dc6,Universidad Tecnológica Del Perú,Universidad Tecnológica del Perú S.A.C.
630665b8594e18004af04dd1,Instituto De Educación Superior De Perumaster,Instituto De Educación Superior De Perumaster
630665b8594e18004af04dd7,Netzun,Netzun
630665b8594e18004af04dd7,Instituto Nacional De Estadística E Informática - Inei,Instituto Nacional De Estadística E Informática - Inei
630665b8594e18004af04de5,I.s.t.p Cepea,I.s.t.p Cepea
630665b8594e18004af04dee,Universidad Nacional De La Amazonia Peruana,Universidad Nacional de la Amazonía Peruana
630665b8594e18004af04dee,Ceps. Virgen De Loreto,Ceps. Virgen De Loreto
630665b8594e18004af04df6,Sabio Nacional Antúnez De Mayolo,Sabio Nacional Antúnez De Mayolo
630665b8594e18004af04e02,Certus,Certus
630665b8594e18004af04e02,Certus,Certus
630665b8594e18004af04e0b,Utp - Universidad Tecnológica Del Perú,Utp - Universidad Tecnológica Del Perú
630665b8594e18004af04e0b,Icpna,Icpna
630665b8594e18004af04e14,Universidad Cesar Vallejo,Universidad Cesar Vallejo
630665b8594e18004af04e1b,Universidad Nacional De La Amazonia Peruana,Universidad Nacional de la Amazonía Peruana
630665b8594e18004af04e1b,San Francisco De Asís,San Francisco De Asís
630665b8594e18004af04e29,Universidad Nacional Daniel Alcides Carrión - Undac,Universidad Nacional Daniel Alcides Carrión
630665b8594e18004af04e29,Universidad Privada Telesup,Universidad Privada Telesup
630665b8594e18004af04e33,Instituto De Formación Bancaria - Ifb,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04e3e,Universidad Alas Peruanas,Universidad Alas Peruanas
630665b8594e18004af04e4a,Universidad Nacional De Tumbes,Universidad Nacional de Tumbes
630665b8594e18004af04e52,Universidad Nacional De Educación Enrique Guzmán Y Valle - La Cantuta,Universidad Nacional de Educación Enrique Guzmán y Valle
630665b8594e18004af04e59,Universidad San Martin De Porres,Universidad de San Martín de Porres
630665b8594e18004af04e64,Universidad Nacional De Tumbes,Universidad Nacional de Tumbes
630665b8594e18004af04e6b,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04e71,Sise,Sise
630665b8594e18004af04e7a,Iestp Argentina,Iestp Argentina
630665b8594e18004af04e82,Telesup,Telesup
630665b8594e18004af04e8e,Universidad Tecnológica Del Perú - Utp,Universidad Tecnológica Del Perú - Utp
630665b8594e18004af04ea0,Idat,Idat
630665b8594e18004af04ea0,I.e. Virgen Del Morro Solar,I.e. Virgen Del Morro Solar
630665b8594e18004af04ea8,Administracion De Empresas,Administracion De Empresas
630665b8594e18004af04eae,Sise,Sise
630665b8594e18004af04eb5,Instituto De Formación Bancaria - Ifb,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04eb5,Británico,Británico
630665b8594e18004af04ebd,Certus,Certus
630665b8594e18004af04ebd,N°3 Monitor Huascar,N°3 Monitor Huascar
630665b8594e18004af04ed2,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04ed2,Eiger,Eiger
630665b8594e18004af04eda,Universidad Del Pacifico,Universidad del Pacífico
630665b8594e18004af04ee0,Modern Systems,Modern Systems
630665b8594e18004af04ee7,Idat,Idat
630665b8594e18004af04eef,Idat,Idat
630665b8594e18004af04ef5,Enrique Guzmán Y Valle,Enrique Guzmán Y Valle
630665b8594e18004af04ef5,Cesar Vallejo,Cesar Vallejo
630665b8594e18004af04efc,Universidad Nacional Daniel Alcides Carrión,Universidad Nacional Daniel Alcides Carrión
630665b8594e18004af04f03,Certus,Certus
630665b8594e18004af04f11,Universidad Alas Peruanas,Universidad Alas Peruanas
630665b8594e18004af04f1d,Pedro A. Del Águila Hidalgo,Pedro A. Del Águila Hidalgo
630665b8594e18004af04f24,Cibertec,Cibertec
630665b8594e18004af04f24,Daniel Alcides Carrion,Daniel Alcides Carrion
630665b8594e18004af04f2d,Instituto Adex,Instituto Adex
630665b8594e18004af04f32,Ifb,Ifb
630665b8594e18004af04f39,Universidad Peruana Los Andes,Universidad Peruana Los Andes
630665b8594e18004af04f42,Universidad Continental,Universidad Continental
630665b8594e18004af04f48,Universidad De San Martin De Porres - Usmp,Universidad de San Martín de Porres
630665b8594e18004af04f57,Universidad De San Martin De Porres,Universidad de San Martín de Porres
630665b8594e18004af04f57,Icpna,Icpna
630665b8594e18004af04f57,Edelmira Del Pando,Edelmira Del Pando
630665b8594e18004af04f60,Mark Twain School,Mark Twain School
630665b8594e18004af04f67,Universidad Nacional De San Martín,Universidad Nacional de San Martín
630665b8594e18004af04f67,I.e Francisco Bolognesi 088,I.e Francisco Bolognesi 088
630665b8594e18004af04f72,Certus,Certus
630665b8594e18004af04f72,Ie República De Colombia,Ie República De Colombia
630665b8594e18004af04f7a,Zegel Ipae,Zegel Ipae
630665b8594e18004af04f80,Certus,Certus
630665b8594e18004af04f8c,Cibertec,Cibertec
630665b8594e18004af04f94,Instituto Superior Tecnologico Sise,Instituto Superior Tecnologico Sise
630665b8594e18004af04f9a,Universidad Tecnológica Del Perú,Universidad Tecnológica del Perú S.A.C.
630665b8594e18004af04f9a,Centro Peruano De  Estudios Bancarios - Cepeban,Centro Peruano De  Estudios Bancarios - Cepeban
630665b8594e18004af04fa4,Certus,Certus
630665b8594e18004af04fa4,Universidad Alas Peruanas,Universidad Alas Peruanas
630665b8594e18004af04fb4,Certus,Certus
630665b8594e18004af04fbb,Idad,Idad
630665b8594e18004af04fc4,Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor de San Marcos
630665b8594e18004af04fcb,Instituto Certus,Instituto Certus
630665b8594e18004af04fcb,Vasili Sujomlinsky,Vasili Sujomlinsky
630665b8594e18004af04fd2,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04fdf,Universidad Tecnológica Del Perú,Universidad Tecnológica del Perú S.A.C.
630665b8594e18004af04fdf,Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor de San Marcos
630665b8594e18004af04fdf,Centro De Idiomas De La Unmsm,Centro De Idiomas De La Unmsm
630665b8594e18004af04fe8,Instituto Columbia,Instituto Columbia
630665b8594e18004af04ff0,Ifb Certus,Ifb Certus
630665b8594e18004af04ffb,Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor de San Marcos
630665b8594e18004af05008,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af05010,Instituto Certus,Instituto Certus
630665b8594e18004af05019,Iestp Argentina,Iestp Argentina
630665b8594e18004af05020,Universidad Catolica Los Angeles De Chimbote,Universidad Catolica Los Angeles De Chimbote
630665b8594e18004af05027,Certus,Certus
630665b8594e18004af0502e,Universidad Tecnológica Del Perú,Universidad Tecnológica del Perú S.A.C.
630665b8594e18004af05038,Universidad Católica Los Ángeles De Chimbote,Universidad Católica Los Ángeles De Chimbote
630665b8594e18004af0503f,Universidad Nacional Pedro Ruiz Gallo - Unprg,Universidad Nacional Pedro Ruiz Gallo - Unprg
630665b8594e18004af05047,Cibertec,Cibertec
630665b8594e18004af05057,Senati,Senati
630665b8594e18004af0505d,Universidad De San Martin De Porres - Usmp,Universidad de San Martín de Porres
630665b8594e18004af05064,Upn,Upn
630665b8594e18004af0506a,Instituto Ifb Certus,Instituto Ifb Certus
